scenario,parameter,unit,prior_std,prior_bias,prior_mae,prior_rmse,prior_median_ae,prior_ci95_width,prior_coverage,rc2_bias,rc2_mae,rc2_rmse,rc2_median_ae,rc2_ci95_width,rc2_coverage,rc2_status,rc23_bias,rc23_mae,rc23_rmse,rc23_median_ae,rc23_ci95_width,rc23_coverage,rc23_status,rmse_improvement,status,rc23_rel_rmse_pct,rc2_rel_rmse_pct
B-L,r,km,4.330127018922193,-0.42069264245720717,1.1433091082125244,1.2586653787451314,1.2145261623613344,15.0,1.0,1.590503190876125,4.2627220956514265,5.1066939014805595,3.871456104013827,14.945,1.0,UNRESOLVED_OR_WEAK,2.413140690876126,5.159408162825209,5.982163110784448,5.05790455197323,5.46,0.39666666666666667,INVALID_COVERAGE,-0.17143561493867265,INVALID_COVERAGE,11.964326221568896,10.213387802961119
B-L,theta,deg,2.8867513459481287,-0.007691917335362319,0.5227218854500253,0.5859887378697326,0.4654078147817152,10.0,1.0,0.030736415997968714,0.0971624384783622,0.10980362286651627,0.0976238543151388,0.025,0.05,INVALID_COVERAGE,0.019708082664635387,0.1075619467935823,0.12903332985232827,0.1009383842366667,0.0175,0.035,INVALID_COVERAGE,-0.17512816502592776,INVALID_COVERAGE,,
B-L,z,m,28.86751345948129,2.612670036343662,9.561512615994879,10.70524676685056,9.134723456164267,100.0,1.0,,,,,,1.0,OK,-4.119329963656334,18.26422717077053,21.73037689260589,17.534907292060808,28.366666666666667,0.7016666666666667,OK,,M2=OK,10.865188446302945,
B-L,v,m/s,0.5773502691896258,0.015198350134550622,0.1265394025548436,0.14948066289703338,0.1256168553167007,2.0,1.0,0.6436394959678838,0.7503325479289399,0.7794364981753129,0.7744143844635358,1.408,0.9583333333333334,UNRESOLVED_OR_WEAK,0.14535835013455042,0.529259713764226,0.610956730969745,0.5235951778538791,0.5436666666666666,0.33,INVALID_COVERAGE,0.21615586080454885,INVALID_COVERAGE,30.54783654848725,38.97182490876565
B-L,psi,deg,8.660254037844386,0.03729935395317448,1.1253034607428023,1.2470498332909488,1.0574845255609477,30.0,1.0,-1.9863308543801572,5.9338987511303305,6.516034678777535,5.500649372991189,8.276666666666667,0.15,INVALID_COVERAGE,-1.5779006460468248,7.577266759385808,8.590849065300867,7.708157290793986,4.51,0.13166666666666665,INVALID_COVERAGE,-0.31841671949367,INVALID_COVERAGE,,
B-M,r,km,4.330127018922193,0.07485377229679054,1.118381177867547,1.2136174939375188,1.0757808943566367,15.0,1.0,2.2918246056301235,4.927583526457354,5.933654219488769,4.1674554438388824,14.7025,1.0,UNRESOLVED_OR_WEAK,2.5888204389634577,4.954495039211364,5.8493917378481,4.618481253176924,5.388333333333334,0.39666666666666667,INVALID_COVERAGE,0.014200773844204484,INVALID_COVERAGE,11.6987834756962,11.867308438977538
B-M,theta,deg,2.8867513459481287,0.11057269963405626,0.5633602946714092,0.6506489506186814,0.5806523808553397,10.0,1.0,-0.0014364670326125568,0.06711960084927053,0.07869570381101022,0.0575314066475333,0.0075,0.015,INVALID_COVERAGE,0.017206032967388776,0.0853999197949527,0.10344883118064514,0.07898896464210939,0.015,0.03,INVALID_COVERAGE,-0.31454229609636886,INVALID_COVERAGE,,
B-M,z,m,28.86751345948129,-2.9373341749526345,10.366950794251125,12.255231672218581,9.875059705663958,100.0,1.0,,,,,,1.0,OK,-10.496000841619297,20.06739735110332,24.421750065279234,20.066067110587937,26.4,0.6566666666666666,UNRESOLVED_OR_WEAK,,M2=UNRESOLVED_OR_WEAK,12.210875032639617,
B-M,v,m/s,0.5773502691896258,0.024776275466613425,0.15319195874175914,0.17517335673090403,0.14055338441041976,2.0,1.0,0.26375440046661336,0.7445898251303776,0.7902831311819768,0.7848512963227066,1.4253333333333333,0.8916666666666667,UNRESOLVED_OR_WEAK,0.06501627546661325,0.5119462030236636,0.5978722623878846,0.48617313782762206,0.5776666666666667,0.36333333333333334,INVALID_COVERAGE,0.2434708033136369,INVALID_COVERAGE,29.89361311939423,39.514156559098836
B-M,psi,deg,8.660254037844386,0.5439473761708109,1.1898226579445585,1.3202039879302794,1.296939143140053,30.0,1.0,-1.0716328321625233,4.16596708170528,4.938055571869666,4.167261035790481,8.663333333333334,0.46,INVALID_COVERAGE,-1.8331192904958553,5.955159383434925,7.39198194321608,5.274495737997731,5.066666666666666,0.2683333333333333,INVALID_COVERAGE,-0.4969418297610002,INVALID_COVERAGE,,
